,,,-0.04392,-18,,,,,-0.04392,-10
,,,-0.04388,-18,,,,,-0.04388,-9.8
,,,-0.04384,-18,,,,,-0.04384,-9.8
,,,-0.0438,-17.8,,,,,-0.0438,-9.6
,,,-0.04376,-17.8,,,,,-0.04376,-9.6
,,,-0.04372,-17.6,,,,,-0.04372,-9.8
,,,-0.04368,-17.4,,,,,-0.04368,-9.8
,,,-0.04364,-17.2,,,,,-0.04364,-9.8
,,,-0.0436,-17,,,,,-0.0436,-9.8
,,,-0.04356,-16.8,,,,,-0.04356,-9.6
,,,-0.04352,-16.6,,,,,-0.04352,-9.6
,,,-0.04348,-16.2,,,,,-0.04348,-9.6
,,,-0.04344,-16.2,,,,,-0.04344,-9.8
,,,-0.0434,-16,,,,,-0.0434,-9.6
,,,-0.04336,-15.8,,,,,-0.04336,-9.6
,,,-0.04332,-15.6,,,,,-0.04332,-9.6
,,,-0.04328,-15.6,,,,,-0.04328,-9.4
,,,-0.04324,-15.4,,,,,-0.04324,-9.6
,,,-0.0432,-15.4,,,,,-0.0432,-9.6
,,,-0.04316,-15.2,,,,,-0.04316,-9.6
,,,-0.04312,-15,,,,,-0.04312,-9.4
,,,-0.04308,-15,,,,,-0.04308,-9.8
,,,-0.04304,-14.8,,,,,-0.04304,-9.6
,,,-0.043,-14.6,,,,,-0.043,-9.6
,,,-0.04296,-14.6,,,,,-0.04296,-9.4
,,,-0.04292,-14.4,,,,,-0.04292,-9.6
,,,-0.04288,-14.2,,,,,-0.04288,-9.6
,,,-0.04284,-14,,,,,-0.04284,-9.6
,,,-0.0428,-13.8,,,,,-0.0428,-9.4
,,,-0.04276,-13.8,,,,,-0.04276,-9.6
,,,-0.04272,-13.6,,,,,-0.04272,-9.6
,,,-0.04268,-13.4,,,,,-0.04268,-9.6
,,,-0.04264,-13.2,,,,,-0.04264,-9.6
,,,-0.0426,-13,,,,,-0.0426,-9.6
,,,-0.04256,-12.8,,,,,-0.04256,-9.6
,,,-0.04252,-12.6,,,,,-0.04252,-9.4
,,,-0.04248,-12.4,,,,,-0.04248,-9.4
,,,-0.04244,-12.2,,,,,-0.04244,-9.4
,,,-0.0424,-12,,,,,-0.0424,-9.4
,,,-0.04236,-11.8,,,,,-0.04236,-9.4
,,,-0.04232,-11.6,,,,,-0.04232,-9.4
,,,-0.04228,-11.4,,,,,-0.04228,-9.4
,,,-0.04224,-11.2,,,,,-0.04224,-9.4
,,,-0.0422,-11.2,,,,,-0.0422,-9.4
,,,-0.04216,-10.8,,,,,-0.04216,-9.4
,,,-0.04212,-10.6,,,,,-0.04212,-9.4
,,,-0.04208,-10.4,,,,,-0.04208,-9.4
,,,-0.04204,-10.2,,,,,-0.04204,-9.4
,,,-0.042,-10,,,,,-0.042,-9.2
,,,-0.04196,-9.8,,,,,-0.04196,-9.2
,,,-0.04192,-9.6,,,,,-0.04192,-9.4
,,,-0.04188,-9.4,,,,,-0.04188,-9.2
,,,-0.04184,-9,,,,,-0.04184,-9.2
,,,-0.0418,-9,,,,,-0.0418,-9.4
,,,-0.04176,-8.6,,,,,-0.04176,-9.2
,,,-0.04172,-8.6,,,,,-0.04172,-9.2
,,,-0.04168,-8.2,,,,,-0.04168,-9.4
,,,-0.04164,-8,,,,,-0.04164,-9.2
,,,-0.0416,-7.8,,,,,-0.0416,-9.2
,,,-0.04156,-7.6,,,,,-0.04156,-9
,,,-0.04152,-7.4,,,,,-0.04152,-9.2
,,,-0.04148,-7.4,,,,,-0.04148,-9.2
,,,-0.04144,-7,,,,,-0.04144,-9
,,,-0.0414,-6.8,,,,,-0.0414,-9.2
,,,-0.04136,-6.6,,,,,-0.04136,-9
,,,-0.04132,-6.4,,,,,-0.04132,-9.2
,,,-0.04128,-6.2,,,,,-0.04128,-9.2
,,,-0.04124,-5.8,,,,,-0.04124,-9
,,,-0.0412,-5.6,,,,,-0.0412,-9
,,,-0.04116,-5.6,,,,,-0.04116,-9
,,,-0.04112,-5.2,,,,,-0.04112,-9
,,,-0.04108,-5,,,,,-0.04108,-9
,,,-0.04104,-4.8,,,,,-0.04104,-8.8
,,,-0.041,-4.6,,,,,-0.041,-8.8
,,,-0.04096,-4.4,,,,,-0.04096,-9
,,,-0.04092,-4.2,,,,,-0.04092,-9
,,,-0.04088,-4,,,,,-0.04088,-9
,,,-0.04084,-3.8,,,,,-0.04084,-9
,,,-0.0408,-3.4,,,,,-0.0408,-9
,,,-0.04076,-3.2,,,,,-0.04076,-9
,,,-0.04072,-2.8,,,,,-0.04072,-8.8
,,,-0.04068,-2.6,,,,,-0.04068,-8.8
,,,-0.04064,-2.4,,,,,-0.04064,-8.8
,,,-0.0406,-2.2,,,,,-0.0406,-8.8
,,,-0.04056,-2,,,,,-0.04056,-8.8
,,,-0.04052,-1.8,,,,,-0.04052,-8.8
,,,-0.04048,-1.4,,,,,-0.04048,-8.8
,,,-0.04044,-1.2,,,,,-0.04044,-8.8
,,,-0.0404,-1,,,,,-0.0404,-8.6
,,,-0.04036,-0.8,,,,,-0.04036,-8.6
,,,-0.04032,-0.4,,,,,-0.04032,-8.6
,,,-0.04028,-0.2,,,,,-0.04028,-8.6
,,,-0.04024,0,,,,,-0.04024,-8.6
,,,-0.0402,0.4,,,,,-0.0402,-8.6
,,,-0.04016,0.6,,,,,-0.04016,-8.4
,,,-0.04012,0.8,,,,,-0.04012,-8.2
,,,-0.04008,1,,,,,-0.04008,-8
,,,-0.04004,1.2,,,,,-0.04004,-7.8
,,,-0.04,1.4,,,,,-0.04,-7.6
,,,-0.03996,1.6,,,,,-0.03996,-7.2
,,,-0.03992,1.8,,,,,-0.03992,-7.2
,,,-0.03988,2,,,,,-0.03988,-7
,,,-0.03984,2.2,,,,,-0.03984,-6.6
,,,-0.0398,2.4,,,,,-0.0398,-6.4
,,,-0.03976,2.8,,,,,-0.03976,-6.2
,,,-0.03972,3,,,,,-0.03972,-6.2
,,,-0.03968,3.2,,,,,-0.03968,-5.8
,,,-0.03964,3.2,,,,,-0.03964,-5.4
,,,-0.0396,3.6,,,,,-0.0396,-5.2
,,,-0.03956,3.8,,,,,-0.03956,-4.8
,,,-0.03952,4,,,,,-0.03952,-4.6
,,,-0.03948,4.2,,,,,-0.03948,-4.4
,,,-0.03944,4.6,,,,,-0.03944,-4
,,,-0.0394,4.8,,,,,-0.0394,-3.8
,,,-0.03936,5,,,,,-0.03936,-3.4
,,,-0.03932,5,,,,,-0.03932,-3
,,,-0.03928,5.2,,,,,-0.03928,-2.6
,,,-0.03924,5.6,,,,,-0.03924,-2.6
,,,-0.0392,5.8,,,,,-0.0392,-2
,,,-0.03916,6,,,,,-0.03916,-1.6
,,,-0.03912,6,,,,,-0.03912,-1.4
,,,-0.03908,6.4,,,,,-0.03908,-1
,,,-0.03904,6.6,,,,,-0.03904,-0.8
,,,-0.039,6.8,,,,,-0.039,-0.4
,,,-0.03896,7,,,,,-0.03896,0
,,,-0.03892,7.2,,,,,-0.03892,0.2
,,,-0.03888,7.4,,,,,-0.03888,0.8
,,,-0.03884,7.6,,,,,-0.03884,1
,,,-0.0388,8,,,,,-0.0388,1.2
,,,-0.03876,8.2,,,,,-0.03876,1.6
,,,-0.03872,8.4,,,,,-0.03872,1.8
,,,-0.03868,8.6,,,,,-0.03868,2.2
,,,-0.03864,8.8,,,,,-0.03864,2.6
,,,-0.0386,9,,,,,-0.0386,3
,,,-0.03856,9.2,,,,,-0.03856,3.2
,,,-0.03852,9.4,,,,,-0.03852,3.4
,,,-0.03848,9.6,,,,,-0.03848,3.8
,,,-0.03844,10,,,,,-0.03844,4
,,,-0.0384,10,,,,,-0.0384,4.4
,,,-0.03836,10.4,,,,,-0.03836,4.6
,,,-0.03832,10.4,,,,,-0.03832,4.8
,,,-0.03828,10.6,,,,,-0.03828,5.2
,,,-0.03824,10.8,,,,,-0.03824,5.4
,,,-0.0382,10.8,,,,,-0.0382,5.8
,,,-0.03816,11,,,,,-0.03816,5.8
,,,-0.03812,11.2,,,,,-0.03812,6.2
,,,-0.03808,11.4,,,,,-0.03808,6.2
,,,-0.03804,11.6,,,,,-0.03804,6.4
,,,-0.038,11.8,,,,,-0.038,6.6
,,,-0.03796,12.2,,,,,-0.03796,6.8
,,,-0.03792,12.4,,,,,-0.03792,7.2
,,,-0.03788,12.6,,,,,-0.03788,7.2
,,,-0.03784,12.8,,,,,-0.03784,7.4
,,,-0.0378,13,,,,,-0.0378,7.6
,,,-0.03776,13.2,,,,,-0.03776,7.6
,,,-0.03772,13.4,,,,,-0.03772,7.8
,,,-0.03768,13.6,,,,,-0.03768,8
,,,-0.03764,13.8,,,,,-0.03764,8.2
,,,-0.0376,14,,,,,-0.0376,8.4
,,,-0.03756,14,,,,,-0.03756,8.4
,,,-0.03752,14.2,,,,,-0.03752,8.4
,,,-0.03748,14.4,,,,,-0.03748,8.6
,,,-0.03744,14.6,,,,,-0.03744,8.6
,,,-0.0374,14.8,,,,,-0.0374,8.6
,,,-0.03736,15,,,,,-0.03736,8.6
,,,-0.03732,15.2,,,,,-0.03732,8.8
,,,-0.03728,15.4,,,,,-0.03728,8.8
,,,-0.03724,15.4,,,,,-0.03724,9
,,,-0.0372,15.6,,,,,-0.0372,9
,,,-0.03716,15.8,,,,,-0.03716,9
,,,-0.03712,15.8,,,,,-0.03712,9.2
,,,-0.03708,15.8,,,,,-0.03708,9.2
